sample,value
1,0.377590916564173
2,1.44748426873204
3,0.695367564405215
4,0.517621973015371
5,1.18225762651182
6,0.0297195801977068
7,0.717642671686538
8,1.01136293865502
9,1.03994056859747
10,0.150641498187325
11,0.211121222469956
12,0.488697902911503
13,0.0448370391562025
14,0.215566066093743
15,0.892382702270612
16,0.0260277239140123
17,0.193096781736753
18,0.402085455579168
19,0.517548573648042
20,0.131869132013586
1,0.590821389553553
2,0.614781026707447
3,0.381014927735037
4,0.938017586204124
5,0.320946294115856
6,0.289356231689453
7,0.0186342631932348
8,0.65087046707049
9,1.01412345187501
10,0.646562328075475
11,1.08938628411976
12,0.104933290276676
13,0.554088328382189
14,1.36519465682315
15,1.15623581310021
16,0.175935248942048
17,0.504128228386349
18,0.791848040029033
19,0.223725946620107
20,0.223302827226042
1,0.0728533633518964
2,0.269841419998556
3,0.618801775367415
4,0.327373318606988
5,0.147060193819925
6,1.97946642608124
7,0.162005076417699
8,0.862607151714569
9,1.14613082383708
10,0.497277894036329
11,1.60889450887402
12,0.154723928077146
13,0.12363212667013
14,0.56841570763516
15,1.45494363448563
16,0.782620672654796
17,0.409257094417681
18,0.616895753896829
19,0.521804257275021
20,0.105303446529433
1,0.0698976309342489
2,0.478283746849227
3,2.21196710884142
4,0.168466738192365
5,0.28293276228942
6,0.586656052910385
7,0.660233964656896
8,0.875771345862542
9,1.12655267722667
10,0.257087148027495
11,0.278914677444845
12,0.552968134151256
13,0.785993423270893
14,0.406684122981722
15,0.142795492196456
16,0.407267903163964
17,0.0296306028030813
18,0.672822009285396
19,0.130414122482762
20,0.0662857029613613
1,0.218034312889587
2,0.0735229952519763
3,0.527271583655334
4,0.29423986072652
5,0.0530363116413355
6,0.498406477621922
7,0.101755175015783
8,0.617513725435484
9,0.777320698834956
10,1.0039162011397
11,0.29730882588774
12,0.387093882055438
13,2.41640637243602
14,0.418503245335921
15,0.194393386028154
16,1.3796218940358
17,1.14192673650788
18,1.05018861492382
19,0.340614554006606
20,0.174444172699459
